,trial_type,position,type_and_pos
0,1,3,2
1,1,1,0
2,1,2,1
3,1,4,3
4,1,1,0
5,1,4,3
6,1,3,2
7,1,1,0
8,1,1,0
9,1,2,1
10,1,4,3
11,1,3,2
12,1,3,2
13,1,2,1
14,1,2,1
15,1,4,3
16,2,4,7
17,2,2,5
18,2,3,6
19,2,1,4
20,2,3,6
21,2,4,7
22,2,3,6
23,2,2,5
24,2,1,4
25,2,2,5
26,2,4,7
27,2,1,4
28,2,3,6
29,2,1,4
30,2,4,7
31,2,3,6
32,2,1,4
33,2,2,5
34,3,3,10
35,3,4,11
36,3,1,8
37,3,1,8
38,3,2,9
39,3,4,11
40,3,1,8
41,3,2,9
42,3,3,10
43,3,3,10
44,3,4,11
45,3,1,8
46,3,2,9
47,3,4,11
48,3,3,10
49,3,3,10
50,1,2,1
51,1,3,2
52,1,1,0
53,1,4,3
54,1,2,1
55,1,2,1
56,1,2,1
57,1,3,2
58,1,4,3
59,1,1,0
60,1,1,0
61,1,2,1
62,1,3,2
63,1,1,0
64,1,4,3
65,1,3,2
66,1,4,3
67,1,1,0
68,1,3,2
69,2,2,5
70,2,3,6
71,2,1,4
72,2,4,7
73,2,1,4
74,2,2,5
75,2,1,4
76,2,3,6
77,2,4,7
78,2,4,7
79,2,3,6
80,2,2,5
81,2,2,5
82,2,3,6
83,2,4,7
84,2,1,4
85,3,3,10
86,3,4,11
87,3,2,9
88,3,1,8
89,3,1,8
90,3,4,11
91,3,3,10
92,3,2,9
93,3,1,8
94,3,2,9
95,3,3,10
96,3,3,10
97,3,4,11
98,3,4,11
99,3,1,8
100,3,2,9
101,1,2,1
102,1,3,2
103,1,4,3
104,1,1,0
105,1,3,2
106,1,3,2
107,1,3,2
108,1,1,0
109,1,4,3
110,1,1,0
111,1,2,1
112,1,4,3
113,1,2,1
114,1,1,0
115,1,2,1
116,1,1,0
117,1,4,3
118,2,2,5
119,2,3,6
120,2,4,7
121,2,1,4
122,2,1,4
123,2,1,4
124,2,4,7
125,2,2,5
126,2,3,6
127,2,3,6
128,2,4,7
129,2,2,5
130,2,3,6
131,2,4,7
132,2,1,4
133,2,2,5
134,3,4,11
135,3,1,8
136,3,2,9
137,3,3,10
138,3,3,10
139,3,4,11
140,3,3,10
141,3,1,8
142,3,2,9
143,3,3,10
144,3,4,11
145,3,1,8
146,3,4,11
147,3,2,9
148,3,1,8
149,1,2,1
150,1,3,2
151,1,1,0
152,1,4,3
153,1,2,1
154,1,1,0
155,1,4,3
156,1,3,2
157,1,4,3
158,1,3,2
159,1,1,0
160,1,2,1
161,1,3,2
162,1,4,3
163,1,2,1
164,1,1,0
165,2,1,4
166,2,3,6
167,2,2,5
168,2,4,7
169,2,3,6
170,2,1,4
171,2,2,5
172,2,1,4
173,2,3,6
174,2,4,7
175,2,1,4
176,2,2,5
177,2,4,7
178,2,2,5
179,2,3,6
180,2,4,7
181,3,2,9
182,3,4,11
183,3,1,8
184,3,3,10
185,3,4,11
186,3,3,10
187,3,4,11
188,3,4,11
189,3,1,8
190,3,4,11
191,3,1,8
192,3,1,8
193,3,2,9
194,3,1,8
195,3,2,9
196,3,3,10
197,3,2,9
198,3,3,10
199,1,1,0
200,1,4,3
201,1,1,0
202,1,2,1
203,1,3,2
204,1,3,2
205,1,4,3
206,1,2,1
207,1,1,0
208,1,4,3
209,1,3,2
210,1,3,2
211,1,2,1
212,1,1,0
213,1,1,0
214,1,4,3
215,1,2,1
216,2,3,6
217,2,1,4
218,2,4,7
219,2,2,5
